text;text_g;text_s;y_max;page;file
une cathédrale  Notre-Dame est la ~ de Paris.;eine Kathedrale;;858;46;C:\coding\voki\data\SerieVertes1.pdf
imiter qn;jdn. nachahmen;;882;46;C:\coding\voki\data\SerieVertes1.pdf
cette;diese (vor femininen Nomen);Ah, Nathalie! J'adore ~ fille!;903;46;C:\coding\voki\data\SerieVertes1.pdf
un/une jeune;ein Jugendlicher/eine Jugendliche;Mon grand-père aime bien les ~2 d'aujourd'hui.;951;46;C:\coding\voki\data\SerieVertes1.pdf
le palais de Chaillot;Museumsgebäude in Paris (u. a. MarineMuseum, Museum der Geschichte des Menschen);;995;46;C:\coding\voki\data\SerieVertes1.pdf
une vue;eine Aussicht/ein Ausblick;+ voir;1110;46;C:\coding\voki\data\SerieVertes1.pdf
chouette (fam.);prima/klasse (ugs.);Faire du patin, c'est ~!;1180;46;C:\coding\voki\data\SerieVertes1.pdf
mal;schlecht (Adverb);Ça va bien? - Non, ça va ~.;1200;46;C:\coding\voki\data\SerieVertes1.pdf
Pas mal.;Nicht schlecht.;Ça va? - Oui. ~.;1223;46;C:\coding\voki\data\SerieVertes1.pdf
ne ... rien;nichts;Où sont mes lunettes? Je ~ vois ~.;127;47;C:\coding\voki\data\SerieVertes1.pdf
un sandwich;ein Sandwich/belegtes Bro;;149;47;C:\coding\voki\data\SerieVertes1.pdf
un jambon;ein Schinken;;194;47;C:\coding\voki\data\SerieVertes1.pdf
un sandwich au jambon;ein Sandwich mit Schinken;;217;47;C:\coding\voki\data\SerieVertes1.pdf
un orangina;eine Orangenlimonade;;265;47;C:\coding\voki\data\SerieVertes1.pdf
manquer;fehlen;;286;47;C:\coding\voki\data\SerieVertes1.pdf
Il ne manque rien.;Es fehlt nichts.;;309;47;C:\coding\voki\data\SerieVertes1.pdf
un pique-nique;ein Picknick;;334;47;C:\coding\voki\data\SerieVertes1.pdf
le sommeil;dorthin;der Schlaf;382;48;C:\coding\voki\data\SerieVertes1.pdf
longtemps;dienen/nützen;lange (Zeit);403;48;C:\coding\voki\data\SerieVertes1.pdf
la neige;Das ist zwecklos.;der Schnee;426;48;C:\coding\voki\data\SerieVertes1.pdf
envahir qe;leichter;hier: etw. bedecken/ füllen;449;48;C:\coding\voki\data\SerieVertes1.pdf
... a envahi ...;ein Auge/Augen;.. hat gefüllt ...;496;48;C:\coding\voki\data\SerieVertes1.pdf
l'écran (m.);;der Bildschirm;517;48;C:\coding\voki\data\SerieVertes1.pdf
j'ai vu;du wirst sehen;ich habe gesehen;541;48;C:\coding\voki\data\SerieVertes1.pdf
courir;alles, was;laufen;562;48;C:\coding\voki\data\SerieVertes1.pdf
la terre;wenn;die Erde;585;48;C:\coding\voki\data\SerieVertes1.pdf
reculer;eine Musik kommt mit ihren Bildern, die sie wie Akkorde in afrikanischen Rhythmen anschlägt;zurückweichen;608;48;C:\coding\voki\data\SerieVertes1.pdf
un appel au secours;;ein Hilferuf;632;48;C:\coding\voki\data\SerieVertes1.pdf
bousculer;;(herum)stoßen;653;48;C:\coding\voki\data\SerieVertes1.pdf
des enfants qu'on bouscule;;Kinder, die man herumstößt;677;48;C:\coding\voki\data\SerieVertes1.pdf
un rôle;die Landschaft;eine Rolle;724;48;C:\coding\voki\data\SerieVertes1.pdf
avant;ein Autor/eine Autorin;vor/bevor;746;48;C:\coding\voki\data\SerieVertes1.pdf
prendre la parole;ein Komponist/eine Komponistin;das Wort ergreifen;768;48;C:\coding\voki\data\SerieVertes1.pdf
une cave;eine Farbe;ein Keller;923;48;C:\coding\voki\data\SerieVertes1.pdf
un œil/des yeux;hell;ein Auge/Augen;948;48;C:\coding\voki\data\SerieVertes1.pdf
un jeu des sept familles;eine Fotokopie;ein Quartettspiel;1132;48;C:\coding\voki\data\SerieVertes1.pdf
Quel texte va avec quelle photo?;etw. kleben;Welcher Text passt zu welchem Foto?;1200;48;C:\coding\voki\data\SerieVertes1.pdf
photocopier qe;hier: eine Pappkarte;etw. fotokopieren;1248;48;C:\coding\voki\data\SerieVertes1.pdf
un modèle;vielleicht;;130;49;C:\coding\voki\data\SerieVertes1.pdf
en haut de;ein Verkehrsmittel;;152;49;C:\coding\voki\data\SerieVertes1.pdf
souligner qc;der/die/das (Relativpronomen);;222;49;C:\coding\voki\data\SerieVertes1.pdf
à 1 verschiedene Bedeutungen, z. B.;attaquer qc 7B etw. angreifen/etw.;Allô? 6B Hallo? (am Telefon);411;50;C:\coding\voki\data\SerieVertes1.pdf
"räumlich: in, nach (+Ziel); zeit-";anbrechen/einer Sache zu Leibe;;429;50;C:\coding\voki\data\SerieVertes1.pdf
lich: bis, um;rücken;;449;50;C:\coding\voki\data\SerieVertes1.pdf
à deux 5, 13 zu zweit;attendre qn 7 A auf jdn. warten/jdn.;;470;50;C:\coding\voki\data\SerieVertes1.pdf
a table 6A bei/am Tisch;erwarten;;490;50;C:\coding\voki\data\SerieVertes1.pdf
C'est à qui? 8A Wer ist an der;l'attention (f.) 3B die Aufmerksam-;;510;50;C:\coding\voki\data\SerieVertes1.pdf
Reihe?;keit;;529;50;C:\coding\voki\data\SerieVertes1.pdf
C'est à moi, 8A Ich (betont) bin;Attention! 3B Vorsicht!/;;550;50;C:\coding\voki\data\SerieVertes1.pdf
an der Reihe.;Achtung!;l'alphabet (m.) 9A,9 das Alphabet;569;50;C:\coding\voki\data\SerieVertes1.pdf
accorder qe 7B,3 etw. angleichen;Au revoir! 1 Auf Wiedersehen!;;591;50;C:\coding\voki\data\SerieVertes1.pdf
acheter qe 8B etw. kaufen;augmenter qe 8A etw. erhöhen;;610;50;C:\coding\voki\data\SerieVertes1.pdf
une action 8B eine Aktion;aujourd'hui 3A heute;;630;50;C:\coding\voki\data\SerieVertes1.pdf
adorer qc 4 etw. sehr gern mögen;aussi 3A auch;;651;50;C:\coding\voki\data\SerieVertes1.pdf
l'âge (m.) 5,6 das Alter;un autre soir 6A ein anderer;Amicalement ... 7 A Herzliche;669;50;C:\coding\voki\data\SerieVertes1.pdf
Tu as quel âge? 5,6 Wie alt bist;Abend/an einem anderen Abend;;690;50;C:\coding\voki\data\SerieVertes1.pdf
du?;avancer (7N) vorrücken;;709;50;C:\coding\voki\data\SerieVertes1.pdf
un agent de police 9B,9 ein Polizei-;avancer de huit cases (7N) acht;;731;50;C:\coding\voki\data\SerieVertes1.pdf
beamter;Felder vorrücken;;749;50;C:\coding\voki\data\SerieVertes1.pdf
Ah! 4 Ah!/Ach!/Oh!;avec 1 mit;;768;50;C:\coding\voki\data\SerieVertes1.pdf
Ah non, alors! 5 Also nein!;Je fais du slalom avec. 7B Ich;;788;50;C:\coding\voki\data\SerieVertes1.pdf
aider qn 7A jdm. helfen;laufe/mache damit Slalom.;;808;50;C:\coding\voki\data\SerieVertes1.pdf
Aïe! 6B Au!/Aua!;avoir (1 .- 3. Ps. Sg.) 5, (1 .- 3. Ps. PL.);;827;50;C:\coding\voki\data\SerieVertes1.pdf
aimer qn 2B jdn. lieben/mögen;6A haben;;849;50;C:\coding\voki\data\SerieVertes1.pdf
aimer bien qe 4 etw. gern mögen;avoir faim (f.) 5 Hunger haben;;869;50;C:\coding\voki\data\SerieVertes1.pdf
aimer mieux qc 4 etw. lieber;avoir soif (f.) 5 Durst haben;;887;50;C:\coding\voki\data\SerieVertes1.pdf
mögen;avoir quatorze ans 5 vierzehn;;907;50;C:\coding\voki\data\SerieVertes1.pdf
aimer la télé 5 gern fernsehen/;Jahre alt sein;;929;50;C:\coding\voki\data\SerieVertes1.pdf
Fernsehen mögen;Tu as quel âge? 5,6 Wie alt bist;;947;50;C:\coding\voki\data\SerieVertes1.pdf
aimer faire qe 7B etw. gern tun;du?;;968;50;C:\coding\voki\data\SerieVertes1.pdf
ajouter qe 7B, 7 etw. hinzufügen;avoir envie (f.) 6B Lust haben;appeler qn 8B jdn, rufen/anrufen;988;50;C:\coding\voki\data\SerieVertes1.pdf
l'allemand 6B, 1 das Deutsche/die;avoir un six (7N) eine Sechs;;1007;50;C:\coding\voki\data\SerieVertes1.pdf
deutsche Sprache;haben (beim Würfeln);;1028;50;C:\coding\voki\data\SerieVertes1.pdf
(dir) gut?;une baguette 3B eine Baguette (frz.;;1126;50;C:\coding\voki\data\SerieVertes1.pdf
Ça va. 2B Es geht (mir) gut.;Stangenweißbrot);;1148;50;C:\coding\voki\data\SerieVertes1.pdf
Je vais très bien. 7A Es geht mir;un ballon 3B ein Ball;;1167;50;C:\coding\voki\data\SerieVertes1.pdf
sehr gut.;un ballon de foot 7A ein Fußball;un après-midi 9A ein Nachmittag;1186;50;C:\coding\voki\data\SerieVertes1.pdf
aller au collège 7 A auf das „Col-;une banane 8A cinc Banane;;1207;50;C:\coding\voki\data\SerieVertes1.pdf
"lège"" gehen";une bande 6B eine Bande;;1229;50;C:\coding\voki\data\SerieVertes1.pdf
aller chez qn 7A zu jdm. (nach;une BD (bande dessinée)/des BD;;1251;50;C:\coding\voki\data\SerieVertes1.pdf
Hause) gehen;2A ein Comic(Heft)/Comics;un artichaut 8A eine Artischocke;1270;50;C:\coding\voki\data\SerieVertes1.pdf
le jaune;das Gelb;- jaune;135;1;C:\coding\voki\data\SerieVertes2.pdf
ou alors;oder aber/oder auch;Je voudrais des frites ~ des spaghettis.;157;1;C:\coding\voki\data\SerieVertes2.pdf
beau/bel/belle;schön;Regarde le chat. C'est un ~1 animal.;180;1;C:\coding\voki\data\SerieVertes2.pdf
rouge;rot;Tu aimes la couleur ~?;203;1;C:\coding\voki\data\SerieVertes2.pdf
plaire à qn;jdm. gefallen;Non, le jaune me -2 mieux.;227;1;C:\coding\voki\data\SerieVertes2.pdf
Moi, ça ne me plaît pas. (fam.);Mir (betont) gefällt es nicht. (ugs.);Le rouge? ~;250;1;C:\coding\voki\data\SerieVertes2.pdf
vert/verte;grün;En mai, les arbres sont -3.;295;1;C:\coding\voki\data\SerieVertes2.pdf
agressif/agressive;aggressiv, angriffslustig;;318;1;C:\coding\voki\data\SerieVertes2.pdf
un blouson;eine Jacke/ein Blouson;;408;1;C:\coding\voki\data\SerieVertes2.pdf
une chemise;ein Hemd;Ta ~ va bien avec ton blouson et ton pantalon.;431;1;C:\coding\voki\data\SerieVertes2.pdf
ce/cet/cette/ces;diese(r), dieses (Demonstrativbegleiter);Comment est-ce que tu trouves -5 chemise?;476;1;C:\coding\voki\data\SerieVertes2.pdf
un travail/des travaux;eine Arbeit/Arbeiten;"- travailler;";523;1;C:\coding\voki\data\SerieVertes2.pdf
Au travail!;An die Arbeit!;;567;1;C:\coding\voki\data\SerieVertes2.pdf
un modèle;ein Modell;[F] =- èle + + [D] = Modell;591;1;C:\coding\voki\data\SerieVertes2.pdf
du matin au soir;von morgens bis abends;Ils travaillent ~.;613;1;C:\coding\voki\data\SerieVertes2.pdf
avoir le temps de faire qe;(die) Zeit haben etw. zu tun;Tu -6 regarder la télé ce soir?;638;1;C:\coding\voki\data\SerieVertes2.pdf
«La Mode»;hier: Name eines Restaurants;;681;1;C:\coding\voki\data\SerieVertes2.pdf
Junior;männl. Vorname;;728;1;C:\coding\voki\data\SerieVertes2.pdf
un Africain/une Africaine;ein Afrikaner/eine Afrikanerin;;750;1;C:\coding\voki\data\SerieVertes2.pdf
un employé/une employée;ein Angestellter/eine Angestellte;Junior est un nouvel ~ chez B.A.I.;796;1;C:\coding\voki\data\SerieVertes2.pdf
peut-être;vielleicht;Elle n'est pas là. Elle est ~ malade.;841;1;C:\coding\voki\data\SerieVertes2.pdf
trouver qe beau;etw. schon finden;Regarde cette voiture. Je ~7 belle.;910;1;C:\coding\voki\data\SerieVertes2.pdf
original/originale;originell, neuartig;[F] = ------ al + + [D] = originell;934;1;C:\coding\voki\data\SerieVertes2.pdf
une mode-choc (fam.);eine Supermode (ugs.);;955;1;C:\coding\voki\data\SerieVertes2.pdf
chic (inv.);schick;"[F = chic + -+ [D] = schick; des vêtements ~8";978;1;C:\coding\voki\data\SerieVertes2.pdf
une jupe;ein Rock;;1091;1;C:\coding\voki\data\SerieVertes2.pdf
blanc/blanche;weiß;;1114;1;C:\coding\voki\data\SerieVertes2.pdf
gris/grise;grau;;1136;1;C:\coding\voki\data\SerieVertes2.pdf
bleu/bleue;blau;;1159;1;C:\coding\voki\data\SerieVertes2.pdf
violet/violette;violett;;1183;1;C:\coding\voki\data\SerieVertes2.pdf
orange (inv.);orange;;137;2;C:\coding\voki\data\SerieVertes2.pdf
marron (inv.);(kastanien)braun;;160;2;C:\coding\voki\data\SerieVertes2.pdf
un chemisier;eine Bluse;;183;2;C:\coding\voki\data\SerieVertes2.pdf
un T-shirt;ein T-Shirt;;205;2;C:\coding\voki\data\SerieVertes2.pdf
un pull (fam.);ein Pulli (ugs.);;228;2;C:\coding\voki\data\SerieVertes2.pdf
un sweat (fam.);ein Sweatshirt (ugs.);;251;2;C:\coding\voki\data\SerieVertes2.pdf
le printemps;der Frühling;Enfin, ~ arrive.;366;2;C:\coding\voki\data\SerieVertes2.pdf
au printemps;im Frühling;~, on voit des fleurs partout.;387;2;C:\coding\voki\data\SerieVertes2.pdf
avant;vor (zeitlich)/vorher;~ les cours, les élèves discutent devant l'école.;408;2;C:\coding\voki\data\SerieVertes2.pdf
une sortie;"ein Ausgang; hier: ein Markteintritt";L'équipe fête la ~ de la collection.;454;2;C:\coding\voki\data\SerieVertes2.pdf
le Centre (Georges-)Pompidou;das Centre Pompidou (Kunst und Kulturzentrum in Paris);;503;2;C:\coding\voki\data\SerieVertes2.pdf
triste;traurig;+ gai/gaie;566;2;C:\coding\voki\data\SerieVertes2.pdf
Clermont-Ferrand;Stadt in der Auvergne;;591;2;C:\coding\voki\data\SerieVertes2.pdf
cet été;dieser Sommer/in diesem Sommer;~, je reste à la maison.;614;2;C:\coding\voki\data\SerieVertes2.pdf
c'est l'heure de faire qe;es ist Zeit, etw. zu tun;Une heure deja? ~ manger.;661;2;C:\coding\voki\data\SerieVertes2.pdf
admirer qn;jdn. bewundern;On ~1 les champions.;683;2;C:\coding\voki\data\SerieVertes2.pdf
une statue;eine Statue/Skulptur;;705;2;C:\coding\voki\data\SerieVertes2.pdf
Niki de Saint-Phalle;frz. Malerin und Bildhauerin, geb. 1930;;728;2;C:\coding\voki\data\SerieVertes2.pdf
courir;laufen/rennen;Un vrai sportif aime ~.;771;2;C:\coding\voki\data\SerieVertes2.pdf
j'ai couru;ich bin gelaufen;~ une heure.;794;2;C:\coding\voki\data\SerieVertes2.pdf
bousculer qn;jdn. anrempeln;Je vous ai ~2? Oh, pardon!;817;2;C:\coding\voki\data\SerieVertes2.pdf
Ce n'est rien.;Das macht nichts.;;839;2;C:\coding\voki\data\SerieVertes2.pdf
ce/cet/cette/ces ... - là;der/die/das ... . da/dort Demonstrativbegleiter);;863;2;C:\coding\voki\data\SerieVertes2.pdf
cette couleur-là;die(se) Farbe da;Je n'aime pas -.;932;2;C:\coding\voki\data\SerieVertes2.pdf
une pièce;ein Teil/Stück;;956;2;C:\coding\voki\data\SerieVertes2.pdf
une pièce de tissu;ein Stück Stoff/ ein Flicken;;999;2;C:\coding\voki\data\SerieVertes2.pdf
la façon;die Art;Je n'aime pas sa ~ de me regarder.;1044;2;C:\coding\voki\data\SerieVertes2.pdf
un puzzle;ein Puzzle;;1068;2;C:\coding\voki\data\SerieVertes2.pdf
la façon puzzle;die Patchworkart;;1091;2;C:\coding\voki\data\SerieVertes2.pdf
On a imité notre collection! ~!- C'est impossible!;Man hat unsere Kollektion kopiert/nachgemacht!;;1113;2;C:\coding\voki\data\SerieVertes2.pdf
j'ai vu;ich habe gesehen;~ nos nouveaux modèles.;1180;2;C:\coding\voki\data\SerieVertes2.pdf
entendre qc;ctw. hören;Ecoute. - Mais je n'~4 rien!;1204;2;C:\coding\voki\data\SerieVertes2.pdf
Jamais entendu.;Nie gehört.;;135;3;C:\coding\voki\data\SerieVertes2.pdf
nos idées plaisent;unsere Ideen gefallen/ kommen gut an;~ parce qu'elles sont bonnes.;158;3;C:\coding\voki\data\SerieVertes2.pdf
voler qe à qn;jdm. etw. stehlen;On lui a ~1 son vélo.;206;3;C:\coding\voki\data\SerieVertes2.pdf
une catastrophe;eine Katastrophe;;227;3;C:\coding\voki\data\SerieVertes2.pdf
accuser qn;jdn. anklagen;Il n'a rien fait. On ne peut pas l' ~,;250;3;C:\coding\voki\data\SerieVertes2.pdf
un étranger/une étrangère;ein Ausländer/eine Ausländerin;~ m'a demandé son chemin.;274;3;C:\coding\voki\data\SerieVertes2.pdf
un menteur/une menteuse;ein Lügner/eine Lügnerin;Il m'a accusé. Mais c'est ~,;319;3;C:\coding\voki\data\SerieVertes2.pdf
une jeune fille;ein (junges) Mädchen;;455;3;C:\coding\voki\data\SerieVertes2.pdf
il a fait;er hat gemacht/getan;;477;3;C:\coding\voki\data\SerieVertes2.pdf
un film;ein Film;;501;3;C:\coding\voki\data\SerieVertes2.pdf
excuser qn;jdn. entschuldigen;;525;3;C:\coding\voki\data\SerieVertes2.pdf
Excuse-moi!/Excusez-moi!;Entschuldige!/Entschuldigen Sie!;;547;3;C:\coding\voki\data\SerieVertes2.pdf
grave;schlimm;;592;3;C:\coding\voki\data\SerieVertes2.pdf
août (m.);August;~ est en été.;728;3;C:\coding\voki\data\SerieVertes2.pdf
tous;alle;;750;3;C:\coding\voki\data\SerieVertes2.pdf
Chers tous, ...;Ihr Lieben, ... (Anrede im Brief);;775;3;C:\coding\voki\data\SerieVertes2.pdf
retrouver qe;"etw. wiederfinden; hier: die Arbeit in etw. wieder aufnehmen";Après les vacances, on ~2 son travail.;818;3;C:\coding\voki\data\SerieVertes2.pdf
une accusation;eine Anklage/Anschuldigung;-+ accuser;885;3;C:\coding\voki\data\SerieVertes2.pdf
j'ai fait;ich habe gemacht/getan;~ mes devoirs.;931;3;C:\coding\voki\data\SerieVertes2.pdf
j'ai voulu savoir;ich habe wissen wollen;-- son nom.;955;3;C:\coding\voki\data\SerieVertes2.pdf
Cornille;Familienname;;978;3;C:\coding\voki\data\SerieVertes2.pdf
la rue d'Aboukir;Straße in Paris (im 2. Bezirk);;998;3;C:\coding\voki\data\SerieVertes2.pdf
j'ai été;ich bin gewesen;~ à Paris.;1045;3;C:\coding\voki\data\SerieVertes2.pdf
la qualité;die Qualität;;1069;3;C:\coding\voki\data\SerieVertes2.pdf
de mauvaise qualité;von schlechter Qualität/minderwertig;Elle ne prend jamais de tissus ~.;1091;3;C:\coding\voki\data\SerieVertes2.pdf
être content/contente de faire qc;zufrieden, glücklich sein etw, zu tun;Elle est -> d'être en vacances.;1159;3;C:\coding\voki\data\SerieVertes2.pdf
je n'ai pas pu aller;ich habe nicht fahren können;~ en vacances cet été.;1205;3;C:\coding\voki\data\SerieVertes2.pdf
juillet (m.);Juli;;137;4;C:\coding\voki\data\SerieVertes2.pdf
en juillet;im Juli;Les vacances commencent ~.;157;4;C:\coding\voki\data\SerieVertes2.pdf
vous avez compris;ihr habt verstanden;Maintenant, j'ai tout expliqué. ~?;181;4;C:\coding\voki\data\SerieVertes2.pdf
un porte-monnaie/;ein Geldbeutel, Port-;;296;4;C:\coding\voki\data\SerieVertes2.pdf
des porte-monnaie;monee;;319;4;C:\coding\voki\data\SerieVertes2.pdf
un voleur/une voleuse;ein Dieb/eine Diebin;;365;4;C:\coding\voki\data\SerieVertes2.pdf
un blouson;ein Anorak;;740;4;C:\coding\voki\data\SerieVertes2.pdf
un chemisier;ein Kniestrumpf/ eine Socke;;786;4;C:\coding\voki\data\SerieVertes2.pdf
une jupe;ein Schuh;;831;4;C:\coding\voki\data\SerieVertes2.pdf
un pantalon;ein Mantel/Mäntel;;854;4;C:\coding\voki\data\SerieVertes2.pdf
un sweat (fam.);ein Kleid;;899;4;C:\coding\voki\data\SerieVertes2.pdf
un emploi;eine Beschäftigung/Arbeitsstelle;"- un travail; Elle a perdu son ~.";731;5;C:\coding\voki\data\SerieVertes2.pdf
un informaticien/ une informaticienne;ein Informatiker/eine Informatikerin;~ travaille sur un ordinateur.;776;5;C:\coding\voki\data\SerieVertes2.pdf
un emploi d'informaticienne Elle cherche ~.;eine Arbeitsstelle als Informatikerin;;821;5;C:\coding\voki\data\SerieVertes2.pdf
sortir (de);"(aus etw.) hinausgehen/ -fahren; ausgehen";+ entrer (dans);866;5;C:\coding\voki\data\SerieVertes2.pdf
elle est sortie;sie ist hinausgegangen/ hinausgefahren/ausgegangen;Ta mère est là? - Non, ~ avec papa.;911;5;C:\coding\voki\data\SerieVertes2.pdf
sortir avec qn;mit jdm. „gehen“ (eng befreundet sein);Elle ~1 avec un garçon très sympa.;979;5;C:\coding\voki\data\SerieVertes2.pdf
chaque;jeder/jede/jedes (+No-;Mon père va au marché ~ samedi matin.;1025;5;C:\coding\voki\data\SerieVertes2.pdf
partir;losgehen/weggehen/ abfahren/aufbrechen;+ arriver;1069;5;C:\coding\voki\data\SerieVertes2.pdf
tôt;früh (Adverb);Quitter la maison à 6 heures, c'est -.;1114;5;C:\coding\voki\data\SerieVertes2.pdf
tard;spät (Adverb);# tôt;1138;5;C:\coding\voki\data\SerieVertes2.pdf
elle a dit;sie hat gesagt;~ comment elle fait ça.;1159;5;C:\coding\voki\data\SerieVertes2.pdf
on est allé(e)s;hier: wir sind gegangen;= nous sommes allé(e)s;1184;5;C:\coding\voki\data\SerieVertes2.pdf
France Télécom;entspricht der Deutschen Telekom;;1206;5;C:\coding\voki\data\SerieVertes2.pdf
comme ça;so/auf diese Weise;;1253;5;C:\coding\voki\data\SerieVertes2.pdf
venir;kommen;+ aller;132;6;C:\coding\voki\data\SerieVertes2.pdf
revenir;zurückkommen/wiederkommen;A quelle heure est-ce que tu ~1 de l'école demain?;157;6;C:\coding\voki\data\SerieVertes2.pdf
un ingénieur;ein Ingenieur;;206;6;C:\coding\voki\data\SerieVertes2.pdf
fatigué/fatiguée;müde;Après le travail, on est -.;227;6;C:\coding\voki\data\SerieVertes2.pdf
rien de nouveau;nichts Neues;+ quelque chose de nouveau;249;6;C:\coding\voki\data\SerieVertes2.pdf
un débutant/une débutante;ein Anfänger/eine Anfängerin;~ a souvent des problèmes avec son travail.;272;6;C:\coding\voki\data\SerieVertes2.pdf
tu penses;hier: natürlich/wie du dir vorstellen kannst;;318;6;C:\coding\voki\data\SerieVertes2.pdf
avoir envie de faire qc;Lust haben etw. zu tun;Tu -2 aller au cinéma avec moi?;365;6;C:\coding\voki\data\SerieVertes2.pdf
il a eu;er hat gehabt;~ des problèmes avec ses parents.;386;6;C:\coding\voki\data\SerieVertes2.pdf
retourner;zurück-/umkehren/ wieder hingehen;Après les cours, les élèves ~3 à la maison.;409;6;C:\coding\voki\data\SerieVertes2.pdf
200 = deux cents;zweihundert;;455;6;C:\coding\voki\data\SerieVertes2.pdf
250 = deux cent cinquante;zweihundertfünfzig;;479;6;C:\coding\voki\data\SerieVertes2.pdf
un kilomètre (km);ein Kilometer;;502;6;C:\coding\voki\data\SerieVertes2.pdf
le Puy de Dôme;Berg in der Nähe von Clermont-Ferrand (1465 m hoch);;524;6;C:\coding\voki\data\SerieVertes2.pdf
le Tour de France;die Tour de France (alljährliches Radrennen;le - +-+ la tour Eiffel;592;6;C:\coding\voki\data\SerieVertes2.pdf
Qu'est-ce que tu fais comme sport?;Was für Sport treibst du?;;661;6;C:\coding\voki\data\SerieVertes2.pdf
le volley(-ball);das Volleyballspiel;Qu'est-ce que tu fais comme sport? - Je joue au ~.;708;6;C:\coding\voki\data\SerieVertes2.pdf
Hélène;weibl. Vorname;;751;6;C:\coding\voki\data\SerieVertes2.pdf
mixte;gemischt;Aujourd'hui, les classes sont ~4.;773;6;C:\coding\voki\data\SerieVertes2.pdf
Tiens, tiens!;Sieh da!/Sieh an!;~! Il est là aussi.;819;6;C:\coding\voki\data\SerieVertes2.pdf
mentir à qn;jdn. belügen;- un menteur/une menteuse;842;6;C:\coding\voki\data\SerieVertes2.pdf
un joueur/une joueuse;ein Spieler/eine Spielerin;- jouer/un jeu;866;6;C:\coding\voki\data\SerieVertes2.pdf
Sébastien;männl. Vorname;;911;6;C:\coding\voki\data\SerieVertes2.pdf
brun/brune;braun/dunkelhaarig;A Marseille, les gens sont souvent -- 6.;934;6;C:\coding\voki\data\SerieVertes2.pdf
un grand brun;ein großer Dunkelhaariger;;956;6;C:\coding\voki\data\SerieVertes2.pdf
gentil/gentille;nett, freundlich;On aime les gens ~7.;1003;6;C:\coding\voki\data\SerieVertes2.pdf
être amoureux/amoureuse (de qn);(in jdn.) verliebt sein;Elle rêve d'un garçon. Elle ~8 de ce garçon.;1025;6;C:\coding\voki\data\SerieVertes2.pdf
prochain/prochaine;nächster, nächste, nächstes;;1071;6;C:\coding\voki\data\SerieVertes2.pdf
un match;ein Wettkampf/Spiel;;1113;6;C:\coding\voki\data\SerieVertes2.pdf
le prochain match;das nächste Spiel;;1136;6;C:\coding\voki\data\SerieVertes2.pdf
un centre d'entraînement;ein Trainingszentrum;Avant les grands matchs, l'équipe va dans ~.;1161;6;C:\coding\voki\data\SerieVertes2.pdf
Ça tombe bien/mal.;Das trifft sich gut./Das kommt ungelegen.;Tu vas à la gare? ~ 1. Moi aussi.;138;7;C:\coding\voki\data\SerieVertes2.pdf
la chance;die Chance/Gelegenheit/das Glück;Tu as un cousin français. Tu as de ~.;183;7;C:\coding\voki\data\SerieVertes2.pdf
rater une chance;eine Gelegenheit verpassen;Pourquoi est-ce que tu n'es pas venu? Tu -2.;230;7;C:\coding\voki\data\SerieVertes2.pdf
la taille;die (Kleider)Größe;Dans une boutique: «Quelle est votre ~, mademoiselle?»;275;7;C:\coding\voki\data\SerieVertes2.pdf
un mannequin;ein Mannequin;Pas de collection sans -3,;323;7;C:\coding\voki\data\SerieVertes2.pdf
dormir;schlafen;Il a des problèmes. Il ~4 mal.;343;7;C:\coding\voki\data\SerieVertes2.pdf
donner le bonjour à qn;jdm. Grüße ausrichten/ jdn. grüßen;Il ~5 ses amis.;367;7;C:\coding\voki\data\SerieVertes2.pdf
embrasser qn;jdn. küssen/umarmen;La mère ~6 son enfant.;412;7;C:\coding\voki\data\SerieVertes2.pdf
1 un résumé;ein Resümee/eine Zusammenfassung;F =- é +-+ [D = Resümee;526;7;C:\coding\voki\data\SerieVertes2.pdf
une chanson;ein Lied;[F] = une ~ +-+ [D] = ein Chanson;574;7;C:\coding\voki\data\SerieVertes2.pdf
C'est de la part de qui?;Mit wem spreche ich? (am Telefon);;596;7;C:\coding\voki\data\SerieVertes2.pdf
Ne quittez pas.;Bleiben Sie am Apparat. (am Telefon);;642;7;C:\coding\voki\data\SerieVertes2.pdf
Je vous le passe.;Ich verbinde Sie mit ihm. (am Telefon);;687;7;C:\coding\voki\data\SerieVertes2.pdf
les renseignements (m.);hier: die (Telefon)Auskunft;;732;7;C:\coding\voki\data\SerieVertes2.pdf
impressionner qn;jdn. beeindrucken;Il joue bien. Son jeu m' ~- 7.;868;7;C:\coding\voki\data\SerieVertes2.pdf
le terrain;hier: das Spielfeld;Les joueurs arrivent sur ~ et le match commence.;889;7;C:\coding\voki\data\SerieVertes2.pdf
leur;ihnen (indirektes Objektpronomen);Le professeur ~ rend leurs devoirs.;934;7;C:\coding\voki\data\SerieVertes2.pdf
Bonne chance!;Viel Glück!;Je cherche un appartement. - ~;980;7;C:\coding\voki\data\SerieVertes2.pdf
un service;hier: eine Angabe/ein Aufschlag (beim Sport);;1001;7;C:\coding\voki\data\SerieVertes2.pdf
fort/forte;stark, kraftvoll;Son copain est grand et ~-.;1071;7;C:\coding\voki\data\SerieVertes2.pdf
une passe;ein Zuspiel/Pass;[F] = une ~ + -+ [D] = ein Pass;1094;7;C:\coding\voki\data\SerieVertes2.pdf
précis/précise  Pour bien écrire, cherchez les mots -.;genau;;1118;7;C:\coding\voki\data\SerieVertes2.pdf
