text;text_g;text_s;y_max;hash
Quel monstre!;Was für ein Monster!;;796;691895ac7419b55c225d11fdfc03324f
une douche;eine Dusche;Après le match, les jeunes prennent ~,;817;bc73a88b6b344ce7e39acd92bd81c314
entre;zwischen;Lille est ~ Paris et Bruxelles.;840;d38e8968ce2e8316c105eb6e020ba874
un diner;ein Abendessen;[F] = - in -- - - > [E] = dinner;863;a83db9dbd4709b139998d34cc96eb0af
où;wo (Relativpronomen);;885;5ac527522f4d8e3e7a8f23920df2ffa3
la ville où elle habite;die Stadt, in der sie wohnt;~ s'appelle Clermont-Ferrand.;908;865b01faffe19ade3ab86a9276067cca
une nuit;eine Nacht;+ un jour;955;ee01c72a2cc5ba4e1ccfcfaf02fdf043
Bonne nuit!;Gute Nacht!;Bonjour!;976;6b710e807087a313dfedba02791835a8
une oreille;ein Ohr;Qu'est-ce que ses ~6 sont grandes!;1000;2ad353c50183b24fbc55d2746846b7d6
dire qe à l'oreille de qn;jdm. etw. ins Ohr sagen;;1024;c3f8eac354f63c1e2c709c845da30e72
demander à qn de faire qc;jdn. darum bitten, etw. zu tun;;1137;5953a0fb57b75c208bcf96c9f2a6920b
une entrée;ein Eingang/Hausflur;;1181;2cb5bfde29c44b414d5ed12ed8a278cb
un prénom;ein Vorname;;1205;a205eb214c350ba1a3c06d771b1cc5f5
une saison;eine Jahreszeit;;134;f470386d682aa266901a95ff038a6967
une date;ein Datum;[F] = une ~ ++ [D] = ein Datum;157;ff5be7ba03928a05757f085572f61c32
l'hiver (m.);der Winter;;182;64b5e97da4bed741769b2ae46892e795
en hiver;im Winter;;202;7ec7c26c3f894b6d81de01f50567b277
en été;im Sommer;;226;2fea08eddf3e8842f62dbd774c750975
en automne;im Herbst;;249;da0e7480cdfbb733ece7da739257d727
une découverte;eine Entdeckung/Erkundung;;364;5e3ad5cb333ef0da7fc35646dcb409fa
partir à la découverte de qe;etw. erkunden gehen;Les touristes -1 des monuments.;411;729dbdf4ccfcc06a832e63cc9471e9a3
vieux/vieil/vieille;al;Quel âge a ton père? - Il a 40 ans. Il n'est pas ~2.;434;3762e562a20acb74571df270f139f8cb
Clermont;alter Stadtkern von Clermont-Ferrand;;477;993eb5a204087d8a3b76a1dd4fe901c6
le vieux Clermont;das alte Clermont;;524;a53cc22bee9997242173bd3afb6c8a92
Pascal;frz. Name (Blaise Pascal, 1623 - 1662, Mathematiker und Philosoph);;545;ca693a8ccfa2cd3464d532afdfab31c5
la rue Pascal;die Pascalstraße;;637;9a01edd97f29d99e74c62759a5a3b5af
un hôtel;hier: ein herrschaftliches Stadthaus;;662;0716b979a2a350245dab24a4daf5db7b
un vieil hôtel;ein altes Stadthaus;;705;b4b9f6f6e6038693495ee19a094e0cdb
Mira l'a déjà vue. (= la cathédrale);Mira hat sie schon gesehen. (= die Kathedrale);;729;bc0e309b2c25db7a63d935db1d84a60d
un toit;ein Dach;De la tour, on voit les ~3 des maisons.;795;9d27a6ad067fcc92b89f56463a6ad8dd
une vieille ville;eine alte Stadt/Altstadt;;819;61509835fd79fcfb54c0b2982f29115a
en vrai;in Wirklichkeit;C'est une mauvaise photo. ~ Isabelle est jolie.;840;d0dda7ca92c4117841e8171c1ab39d64
à vélo;mit dem Fahrrad;Tu viens ~? - Non, je prends le tram.;909;bf7be1d6a3c4bc9dd24279e5107e732d
un/une automobiliste;ein Autofahrer/eine Autofahrerin;Les ~4 ne voient pas toujours les vélos.;933;d1135a76611e968d9f094b03be7d5469
une portière;eine Wagentür;Regarde derrière. Puis, ouvre la ~.;978;9337d27876ad485f4a672b8f4ca55276
un accident;ein Unfall;~ est vite arrivé.;1000;a42953a871e509046c58f27649c88262
bloquer qn/qc;jdn./etw. blockieren;;1024;9840fed6866cefbc1f76e2509fda872b
klaxonner;hupen;Les automobilistes bloqués ~5.;1045;36d4783d71bdbd043f128e3f87b79306
manifester;demonstrieren;Les étudiants ~5 dans la rue.;1113;4b14ada2c17088f7d4feaca477145d7c
des travaux;hier: Straßenbauarbeiten;~ bloquent la rue.;1136;71004656b126cba28fa12b18bb38cc2e
la place de Jaude;Platz in Clermont-Ferrand;;1182;7bbe05c5804f334a47a8f00ce03b4542
une université;eine Universität;Il fait des études à l' ~.;136;54ecfdefee35c93126f47f64d994d9ee
rencontrer qn;jdn. treffen/jdm. begegnen;Devine qui j'~1 la semaine dernière!;161;47edf45fcd6e96036a9e77da29f013cb
un pot;ein Topf/Glas;;206;5da43d917294bd7b78c81a010c03f3a5
prendre un pot (fam.);einen trinken (ugs.);Quand on rencontre un vieil ami, on ~2 avec lui.;231;d737d04e4617da9cd0cdbffb667b1790
en ville;in der Stadt;Faire du vélo ~, c'est dangereux.;274;d5a18dc08fafb66a482780cf03666a98
une ambulance;ein Krankenwagen;Un accident! J'appelle ~.;297;bc44023286e4bbb3c0a78b8154715b63
hier;gestern;"+ demain; + aujourd'hui";319;24072372acf322fe3f6b1ed476750b44
un poète;ein Dichter;Il écrit des poèmes. C'est ~,;343;09d153350aa15eaad1ac910bb0056c81
Vercingétorix;Vercingetorix (72-46 vor Christus, Anführer der Arverner, der Gallier der Region, die heute Auvergne heißt);;369;18e83a5e2c9f377962a4f22f51d224be
un guide;ein Reiseführer (Buch und Person);Le ~ parle des monuments.;502;7c5961bf86c1ba5e662735fb90ddcecf
l'Auvergne (f.);die Auvergne (frz. Region);Clermont-Ferrand est en ~.;550;5518d41149b7a5db9bd807fa0d3decce
un marché aux puces;ein Flohmarkt;;685;bd4fca5ec511586ce075f25ef38ef0b3
une tasse;eine Tasse;;707;00a9156c5ee01623ff8b70bd6de968e9
un Canadien/une Canadienne;ein Kanadier/eine Kanadierin;;730;c8a8f6b539d1ba84cbcf0f804dc85f69
un office du tourisme;ein Verkehrsamt;;775;9d4363d83729af8c9bcb0efe247c0a0b
un appartement;das Esszimmer;;187;46465464b0e14fef7272fec94ae763df
une pièce;die Küche;;209;73247b6df0be8617bd05811760307464
l'entrée (f.);das Badezimmer;;231;dc150c38be2f946ec756fa72922990b8
la salle de séjour;die Toilette;;256;3423ec6c8b0caa02f0767b74a4c0fbed
le salon;das WC;;276;895072e26d5fb8eac2232a050aadfc66
la chambre;das/die Arbeitszimmer;;298;02cdc15c30a713888781c8f65b750f30
en janvier;;im Januar;816;9e7a2cfcb3e147f198294e1f517cfb5d
au mois de janvier;;im Monat Januar;839;439451153e4cd64a4569afcc21b4e092
Monnin;Familienname;;298;0ec2ef2e29e231ee031d0f4310b94077
un fils;ein Sohn;Les Sorel ont une fille et deux ~,;323;049eed08fa0518df92e0c21a06ba8c16
le divorce;die Scheidung;Après ~, Sébastien est resté chez sa mère.;345;1e8c3eecac9a728deee0bc00f0ffb2ca
un déjeuner;ein Mittagessen;Le ~ est le repas de midi.;370;22311321814d99b5082f722355382ea9
le dessert;der Nachtisch;A la fin du repas, on mange un ~,;392;17632c44f8d20142232c692ed92563c8
Les voilà au dessert.;Nun sind sie beim Nachtisch.;;414;62f6c181b39174ed57502031f7521db3
une mousse au chocolat;eine Mousse au chocolat (Schokoladencreme);La ~ est un dessert.;461;7475f52e30eddfdbc9c3cc63409f322c
du jambon;Schinken;Achète ~ pour le déjeuner.;528;c97275b59253e6ecf098783e44d6fb3a
une entrée;hier: eine Vorspeise;Le déjeuner commence par -.;551;2cb5bfde29c44b414d5ed12ed8a278cb
un coq;ein Hahn;Le ~ est le symbole de la France.;575;984b8b4c31cbda6cda2c0d867c040c9d
le vin;der Wein;Il y du ~ rouge et du ~ blanc.;595;2512b1bdeb2da7bf0d001aa1051fc041
du coq au vin;Huhn in Weinsoße;Mangeons ~ au déjeuner.;619;d2aec3fa48ea2dd8322ee11ccfa6e225
le riz;der Reis;Vous prenez votre coq au vin avec des frites ou avec du ~?;642;242c1f91f98daa56aaa9144b67d84240
le plat principal;das Hauptgericht;Le coq au vin est un --.;689;52b4344990914dc1b151e02e25043ece
comme plat principal;als Hauptgericht;;711;4d688e42737c71a3fcd1995c37d44030
de la salade;Salat;Après le plat principal, il y a ~.;732;d6f59da75be88f33ec0e78b332572810
le fromage;der Käse;~ vient avant le dessert.;755;204653534b04645d518a5aa7abbf9626
le café;der Kaffee;;777;9d955f84e0e42e4d23d8199f7536a50e
Je veux bien.;(Ich möchte) gern.;Du café? --.;801;6229b005d1c0bcec716675956f8ba154
décider qe;etw. beschließen/entscheiden;;823;37ddf14af0126bd3bae631c2cb1f4dd2
décider de faire qc;beschließen etw. zu tun;J'ai -1 ouvrir une boutique.;869;acf46e998379046f5950be87a7023695
une boum (fam.);eine Fete (ugs.);- une fête;891;ada77b0dca9c920540c6879cd5fc635a
samedi prochain;der nächste Samstag/(am) nächsten Samstag;Mon anniversaire, c'est ~.;915;b53c3c70cea1475a00ef2178c9db0c60
le bruit;der Lärm/das Geräusch;+ le silence;981;6241d174221d4649a7480603b1dc47d7
en plus;außerdem;Il est intelligent. ~ il travaille beaucoup.;1005;c47743ab5b3e4d05dcb41894e6c992bf
Je te l'ai déjà dit.;Ich habe es dir schon gesagt.;;1029;6c658f0e1e2383a9baf0d6997f3ad1eb
promettre qc à qn;jdm. etw. versprechen;Ses parents lui ont ~2 un cadeau.;1075;22b1966db6e00031f1031bcfc2ab0c67
baisser qc;"etw. (ab)senken; hier: leiser stellen";Je veux dormir. ~ 3 la radio, s'il te plaît.;1095;7d91b3a60e8672f368ed954ca473a57c
continuer à faire qc;fortfahren etw. zu tun/ etw. weitermachen;Un élève lit. Puis, un autre ~4 lire.;1140;2a627017f6cfb1f33f11c42d765b7807
la préparation;die Vorbereitung;- préparer;1186;f4625bf8f01d212b9e73bb83bd0914b3
le buffet;das Büfett;;1209;281d1ccf819ef5c9f4dd95d0a3fac050
un invité/une invitée;ein Gast;- inviter qn;139;beac96d715e78eec42cfc7d2c36f203e
la contribution;der Beitrag/Anteil;;162;6d17e7db4598fd4307a4643e070181d0
mettre qn à contribution;hier: jdn, auffordern etw. mitzubringen;On ~1 les invités ~2? - C'est une bonne idée.;185;0a78448e198a2e29faf69b0c2131e04d
Okapi;frz. Jugendzeitschrift;;230;16e0714b2b60cefbc400975eb3fb6a9e
une cerise;eine Kirsche;Les ~3 sont rouges ou noires.;254;4e28dfeb454b199ab541baface47a7d7
un clafoutis aux cerises;Süßspeise aus Eierkuchenteig und Kirschen;;278;944cfbd342c96a23bb45f87a40801c78
préférer qc;etw. vorziehen/lieber mögen;On fait une mousse au chocolat? - Je ~4 le clafoutis aux cerises.;345;129366de2189dba3f158b6db24890a5f
préférer faire qe;vorziehen etw. zu tun/ lieber tun;On sort? - Je ~5 rester à la maison.;390;970102641901bb0e77691d6f827040fd
une boisson;ein Getränk;Le vin est ~.;436;49429e2414026f61190c15c665acf3bd
le coca;die Cola;~ est aussi une boisson.;460;acd426c5c279d07c17c30642b5644cbe
la limonade;die Limonade;;483;905c794cd3d5a3fc969ab8667468b23e
l'eau minérale (f.);das Mineralwasser;;507;4a7f3b1e7bf110b8e2bc091cdc3cbf91
de l'eau minérale;Mineralwasser;Il prend ~ avec les repas.;529;80806414fdf4fbf49f29388c7e3f2609
un jus/des jus;ein Saft/Säfte;;552;790b8533caf4f7a56600896370dbe8c7
un jus de fruits;ein Fruchtsaft;Sa femme prend ~.;575;d3a254992bf69241f93d5e3fd7f28fa3
falloir;brauchen/müssen;;595;9fdd50b3254813469ad81297c42b3978
il faut qe;man braucht etw.;Pour bien travailler, ~ du temps.;618;d4c0fc4ab0a3f2f03460d336be5a51e6
il faut qe à qn;jd. braucht etw.;Il a soif. - 6 une boisson.;642;d54047a0762c1f0933ac83a9877b2730
il faut faire qc;es ist nötig, etw. zu tun/ man muss etw. tun;~7 aider les pauvres.;664;34a2893dd9d4f13a7ee5204904f8d2b2
il ne faut pas faire qc;man darf/soll etw. nicht tun;~ mentir.;710;cbfa33122d4db12a89b5219509d18244
la bière;das Bier;Vous voulez de ~? - Non, je prends une eau minérale.;757;925cfdd1fdf7f8092c761ed31b860599
Jean-Pierre;männl. Vorname;;800;719987871056615416a0d6003db20f48
un avis;eine Meinung;;821;c6a8618c937c28c1f46ffec1edb3b844
à mon avis;meiner Meinung nach;~, ce fromage est très bon.;845;38e458a1e01fc190b534b1c1934a1646
Je ne suis pas de ton avis.;Ich bin nicht deiner Meinung.;Je trouve le film super. --.;870;fb9f25a4ab31f8ddc3390b0a3103fda2
l'alcool (m.);der Alkohol;[F = -- c00- - - > [D] = Alkohol;915;ccadb5b0dbded282b949776789eb60b6
accepter qe;etw. akzeptieren;Je n'~8 pas tes accusations.;937;9f4ec354a9ebecf0ba52aaf24214c275
un rôle;eine Rolle;[F] = un -ol- +-+ [D] = eine Rolle;1050;48b2289c2361381eed6dc55a49b0e6d9
le the;der Tee;F=h + ++ D = Tee;1071;c6915526cfbe32f378215ecd86a15552
Marc;mannl. Vorname;;1093;3f5a69faf0367be56dfb23b17ae736a6
Stéphanie;weibl. Vorname;;1117;a7ec3ade506a1745257be9ab5e746497
le sucre;der Zucker;;1141;5d430ef7cf63475aaa85cac77934a644
un jus de pomme;ein Apfelsaft;;1166;a82ce897b75b9b76e0ba7b7f461b9d77
une chaîne hi-fi;eine Hi-Fi-/Stereoanlage;Ecoutons de la musique avec ma ~,;205;b5da72b6f6ea01e5c4646111f97780e4
un coin;eine Ecke;Je l'ai rencontré au ~ d'une rue.;248;541fe4daaf6b3f8f510397f5570a0b3c
un couteau/des couteaux;ein Messer/Messer;On met le ~ à droite de l'assiette.;320;1ed640bed79576f2d91efc9f233dbc0c
une cuillère;ein Löffel;On met la ~à côté du couteau.;343;8dd4e364bf56d1ab5def71261e20eae6
une fourchette;eine Gabel;On met la ~ à gauche de l'assiette.;365;f3b8894f99a4cff1f1c0250a49f925ce
le pain;das Brot;En France, il n'y a pas de repas sans ~1.;386;eac1ccf3d84635264f25fd2fe6c01379
aller chercher qc;etw. holen (gehen);Il ~2 du pain à la cuisine.;411;b8606959922c51430af46aa2fe93a645
espérer qc;etw. hoffen;;435;1fb48bf635e874b88ca24af1cbbf9ca1
espérer faire qc;hoffen etw. zu tun;J'-3 te revoir bientôt.;456;3ec4d47517c0715fb2aad9710a42dc8b
J'en ai acheté dix bouteilles.;Ich habe (davon) zehn Flaschen gekauft.;J'ai du jus de fruits. ~.;478;f42b508d0e7b40d6acd47274e4d16fcb
boire qe;etw. trinken;Elle ~4 seulement de l'eau.;523;c27d43ef38f8952ba8209423b7518a24
une salade de riz;ein Reissalat;Après cette ~, tu n'as plus faim.;546;d089989aa23d068af04d3472ff105e4c
un cocktail de bienvenue;ein Begrüßungs-/Willkommenscocktail;Prenez d'abord le ~.;570;d9a7eafb1fd7bc6be629818b764dff45
un mélange;eine Mischung;Un cocktail est ~.;615;a0f8801effdbe30e89e49e18451d0539
Franck;männl. Vorname;;638;f4a77acf03e969bbb2b99fee35d137fb
réussir à faire qe;gelingen etw. zu tun/ etw. fertig bringen;Il ne ~$ pas à ouvrir la bouteille.;661;8c95e7bd1df59d825a66eb202ea091ca
l'appétit (m.);der Appetit;Bon ~.;708;c8752a351c5addac8841e8e0bd2a8ff1
un saladier;eine Salatschüssel;-+ la salade;728;bae75b8add16bf10ca46ef21adb59314
enlever qc;etw. wegräumen/wegnehmen/ausziehen (Kleidung);Vous avez terminé? Alors, je vais ~ les assiettes.;751;e4c6d8135c1c2f1890ec381a5aed3d51
une serviette;eine Serviette;;818;48ed103d26b0f6affe89fefa65604687
plus tard;später;On part maintenant? - Non, -.;841;4ef57f78db75a866a2eb35bae5c3a7f2
Karima;weibl. Vorname;;863;89fa8dcd8e0bf3ba4904bc1b444d50eb
une tarte aux pommes;ein Apfelkuchen;Pour faire ~, il faut des pommes.;888;1d25c53a885010bf1af79096541f60fc
une quiche;ein Speckkuchen;;908;64ae1540595227ec00c8ddb33bd2c376
Clément;männl. Vorname;;931;21b4a9849777a3fc4a95f79847965a86
un succès;ein Erfolg;[F =---- ès + + [E] = success;958;f52aad2ed759b400daedcadc643c8245
choisir qc;etw. wählen/aussuchen;Au restaurant: Qu'est-ce que vous ~6?;978;bad2204ae263d898e375054184577ce2
comparer qe;etw, vergleichen;En classe: Luc, ~ 7 les deux textes.;1000;ba765671d3c85606777efdf1f6fdb661
Il n'y en a plus.;Es gibt keinen mehr (davon).;Il y a encore de la salade? - Non, ~.;1024;d3c59cd2566454a7631e793ec75b4516
danser;tanzen;F = ----- -- > [E] = dance;1069;e13daa15343b8c894ebb92c7b326975e
finir qc;etw. beenden/mit etw. aufhören;Ouf! J'ai ~ª mon travail.;1091;d7c7421385953f8ab40ff3f0e656f259
Tout est bien qui finit bien.;Ende gut, alles gut!;;1138;ff219e48e78fdf6cc315a2041e6f5671
Qui est-ce que ... ?;Wen ... ?;- ~ tu cherches? - Mon petit frère.;1161;ab68bef6248e54cb5e01b8f9de590ba7
la main;die Hand;Je ne sais pas écrire avec ~ gauche.;1183;98f6428aa95de4dada184a9481ab842b
trois quarts;drei Viertel;;138;7fe839c1f3af68acce39f33210db58d1
le gin;der Gin;;162;14a873f41062bd1aa3731495393da0e5
réagir;reagieren;Il joue bien. Il -1 vite.;183;bff99ee955d7f2a1319e73c7d371cdd7
réfléchir;überlegen;Quelle est la réponse? - Attends. Je ~2.;207;9b4e57f9e57ca1d37d269bfe1674c4f1
au petit déjeuner;beim/zum Frühstück;;346;1a00fbb3e5379018e920edcc28d5d19b
la camomille;die Kamille;;370;3281515ddcc8770053398b073cd87528
une infusion;ein Kräutertee;;391;59beb8e50a759e4d3ff7051577655df6
Le Puy;Stadt in der Auvergne;;415;c438ab86bf18394b94a5d92b5257bc0a
la pâtisserie  Backwaren;den Teig leicht machen;;574;512a29aec70ccfc6cbe7ba350a9fa2ed
une personne;langsam/allmählich;;618;eb9e798fdd28f4a1fb80d433805dd741
un ingrédient;der Rest;;641;39965b566561ba0cadca0af16ad7543a
un gramme;etw. entkernen;;686;2c42e10f72aca3417d1b7f8c2749ffa5
un œuf/des œufs;eine mit Butter ausgepinselte Backform;;733;5fbdf8bea5c32d550ed40006a2c6c30c
le lait;etw. backen;;800;6d90c903bd4760d3e3de244235e39468
une pincée;hier: bei hoher Temperatur;;821;147aea10fee2c3f13eb9024c4c459e4f
mélanger qc;mit etw. bestreuen;;869;b9c6ce25f29dd10ef1d21f062c78e011
à nouveau;lauwarm;;959;2fd49079a53dbad361b2163bc6b55c0f
travailler qc;kalt;;982;d5377246bce6ce65e9a5ee701bb98777
un adolescent/ une adolescente;ein Jugendlicher/eine Jugendliche;garçon/fille entre 12 et 20 ans;298;e7b52952afe24f9932d9f4705b6b0661
un/une ado (fam.);ein Jugendlicher/eine Jugendliche (ugs.);;344;34aec66d851bc753a7f1b93c680aabab
Radio Ados;frz. Radiosender für;;389;f46ee7d339009a3726532f3ee3e94c5f
Albert Camus;frz. Schriftsteller, 1913 - 1960;;437;fbf0c13e759604506e095ccba3489f71
une station;hier: ein Sender;Europe 1 est ~ de radio.;526;f89a3b1c791a140538543ebc6bdf712d
un principe;ein Prinzip/Grundsatz;;551;3b8862f0d12fc95251c5a3dede164d1b
un auditeur/une auditrice;ein Hörer/eine Hörerin;Les -1 écoutent une émission.;571;7e034dfb859c137c30aecf2a6830b152
un studio;ein Studio;;594;e6f2c7513d9db0c7b78e90d0db93a3b1
direct/directe;direkt/unmittelbar;;618;598da37758f9f76a0a806faa54369302
en direct;direkt/live;« Découvertes» est une émission ~.;641;c462289b4e399d270d2b131bfde3d002
par téléphone;telefonisch;Elle m'a invité ~.;663;3e22ab15a54f6a0bae6465e0ed0822dd
un côté;eine Seite;Je dors toujours sur le ~.;684;989ab736b4fd12ba5b2cd286c50d239d
a ses côtés;neben ihm/ihr;On le voit toujours avec son chien ~,;706;7b8e79c0c0b96f849cbe5f7365132066
Fabienne;weibl. Vorname;;732;42c8b89b6cd6c4c2ab9beefe4279c03b
Costa;Familienname;;751;6f50b8c8a110c2c710cbcd28fde3713c
un chanteur/une chanteuse;ein Sänger/eine Sängerin;- une chanson;776;d22c5e4f4be6167d5cbdcdf33c8eb400
Gilles;frz. Vorname;;822;df02ff5f8ec66e21c657caeaa6a599fa
Gilles Floret;frz. Popsänger;;845;c2bc679635b5b3d782538c3b62ef366b
une séance;eine Sitzung;;867;1c5faaf158c3dbb452fc5994b978e1a0
une séance de travail;eine Arbeitssitzung;Papa rentre tard. Il a ~,;888;f0f17a1df311a9ddc8270689c1c1a92c
critiquer qn;jdn. kritisieren;~ est facile.;913;19b6b400b62df64813083a1833e3517e
Delphine;weibl. Vorname;;936;ef63f8c1c585b76358db9f9b41ddf6ff
contre;(da)gegen;;958;dc1aa382f87fa23b9081c0b75519f6fa
"génial/geniale; pl. géniaux/ géniales";genial, großartig, toll;Tu fais une boum? C'est ~.;982;104a76ed79072da95b51186974904b7e
Serge;männl. Vorname;;1026;c7946352d49774fb0ac313108da8eced
rire;"lachen; hier: scherzen";# pleurer;1048;d55557527220783a3aa91bb4c0ab6cf4
croire qn/qc;jdm./etw. glauben;Je ne le ~2 pas. C'est un menteur.;1072;e173a76ea088fefd07b25f741cc170ca
avoir raison;Recht haben;Je crois qu'ils -3.;1094;13affc3609d3a35afa9173f955858ed3
passer qe;hier: etw. bringen/spielen;Je ~4 mon nouveau CD?;1117;e12c11709ff13c5496df900a5849b6b1
préféré/préférée;bevorzugt, Lieblings-;;1162;d7d7e86a551682c55db8107a3f0ccebe
le chanteur préféré;der Lieblingssänger;C'est un CD de mon -.;1184;8f14dc2275eb23fd5349aedaba32e06d
une parole;ein Wort;;140;d29fc0044edcd36ad8e5cdad4be0ca16
laisser la parole à qn;jdm. das Wort überlassen;Aujourd'hui, nous ~1 aux auditeurs.;163;fb70cf73a1feb4bc587a915502c6f39e
ne ... personne;niemand;Qui est là? - Je ~ vois ~,;185;3733082a2931c08bddbfbd1bb2919f1f
Fanny;weibl. Vorname;;208;23c619563cfd2629c35dbccbef1db047
sentir qc;etw. fühlen/riechen;Je ~2 qu'il ment.;231;f2dadd4015ec28a30e80e45f9cf7c0ea
le trac (fam.);das Lampenfieber/der Bammel (ugs.);- la peur;255;21adf79213956a84797efa227c7b133c
avoir le trac (fam.);Lampenfieber haben (ugs.);C'est la première fois. J'~3.;300;17790ad2045d6163fa0fc1c1d3c024e0
changer qc;etw. ändern;;414;e475fa3b61cc58ef7bc0906986308508
une sorte de qc;eine Sorte/Art von etw.;;437;ff7016251653b757f3a064289844f6f6
exceptionnel/exceptionnelle Floret est un chanteur ~.;außergewöhnlich;;551;0340810df1a6f96e7ad978c91fd936e8
un numéro exceptionnel;eine Sondernummer/ Sonderausgabe;F = un -- m --- +mer;575;4e02dd015a5781dba05c3068d92b280a
pendant que;während;Tu peux faire les courses ~ je prépare le repas.;620;4b69897de993421617e1c9e3cd9face5
un appel;ein Aufruf/(telefonischer) Anruf;-+ appeler;665;9f540156a48ce9ceb41facd4e155beb3
une star;ein Star;[F] = une ~ +-+ [D] = ein Star;709;0d5a2ec8016164be9c708677ce707dda
il est né/elle est née;er/sie ist geboren;;731;94fb7b1fa056dd983180d6a628f3d487
en 1966 (= dix-neuf cent soixante-six);(im Jahre) 1966;Gilles Floret est né -.;755;ecb9c499fbd57071b59df038b5717a3f
Il est né le 26 janvier.;Er ist/wurde am 26. Januar geboren.;[F = ~ le ~ ++ [D] = ~ am ~;799;212f20ff303cc9b76963c46625581969
Courpière;kleines Dorf in der Auvergne;;845;7ceb74ae7fab02ae4ae3cde6fefaf981
un village;ein Dorf;une ville;890;aef18c0e236682415d5ca9c633ae8608
un agriculteur/une agricultri- ~ habite dans un village. ce;ein Landwirt/eine Landwirtin;;915;b7e426cd5780ed5a995eff7d2e7c583f
un paysan/une paysanne;ein Bauer/eine Bauerin;- un agriculteur/une agricultrice;960;4dd02327c9db55560ae2de5601ec7072
exact/exacte;genau, richtig;Il est génial. - C'est -.;982;db676bf12f1e295192364f24323f3221
une époque;eine Epoche/Zeit;;1031;d96481ce2b7d3f42a1fa4b3f8e516e14
la campagne;das Land (im Gegensatz zur Stadt);A ~, il y a des villages.;1050;bf33243aff499e55314efff6308a15ef
de la campagne à la ville;vom Land in die Stadt;;1094;bf2d11caa4ecd4abb293dfd73db60348
un chapitre;ein Kapitel;~ est une partie d'un livre.;1117;bdd745493f55fe7de5deda30f3427a23
le lycée;entspricht der Sek. II/ der Oberstufe des Gymnasiums;Les Français passent trois années au ~,;1140;6f1ed0b02e5125a58b75da3bd10f8843
devenir qe;etw. werden;Il veut ~ ingénieur, comme son père.;1209;1e5e62caa639d8df772f17592550c4f5
Anne;weibl. Vorname;;1233;19fdf51d7001bd6430bc30fcaaa570c5
Comment était l'ambiance?;Wie war die Stimmung?;;139;2fb19f82aa41b3088ac2909db4c3c877
Est-ce que vous aviez des profs sympa?;Hattet ihr sympathische Lehrer?;;162;5f519a140ed9b1484d1a5a7ccfff84c4
sérieux/sérieuse;"gewissenhaft, seriös; hier: fleißig";Il travaille. C'est un élève ~.;206;e1544dced7bc6100f43df7fc846a2591
Je n'étais pas très sérieux.;hier: Ich war nicht sehr fleißig./ Ich habe es nicht sehr ernst genommen.;;252;092472de243d5d1679214b325c1bfcee
la moyenne;der Durchschnitt;Je dors huit heures en ~1.;345;1b8c5e121a8ba8f4acc87abf7c2813b0
avoir la moyenne;ausreichend stehen/haben (als Note);;366;f9084f0f9491e857009d6dea982533b8
je travaillais;ich arbeitete;;412;b340c579b41616bfe3cb753169a919b5
une matière;ein (Schul)Fach;L'allemand est ~,;434;20dc4065da22f56f93c8195788074463
une note;eine Note;;459;00524be35464b34d78afd96db646395d
Qu'est-ce qui ... ?;Was ... ? (Fragepronomen, Sachsubjekt);~ te plaît ici? - Rien.;481;faffe80bcee416d25d20f5ea9bbbc1bb
Qu'est-ce qui t'a donné envie de faire de la musique?;Was hat dich darauf gebracht, Musik zu machen?;;527;49513d26f18265a5ba71fdb5a7f7af5e
chanter;singen;" un chanteur/une chanteuse; une chanson";594;ef884f6136a06b4d770ca505bfd047f9
à l'époque;zu dieser/jener Zeit/ damals;à cette époque-là;641;d3ba6511b7786584b5a067c5e2d9a6ee
un rêve;ein Traum;- rêver;684;9c8f172f6278bee74f0d017e4008164a
Vanessa;weibl. Vorname;;707;91273e8cfb21c51c025ce8de2a9231ee
Qui est-ce qui ... ?;Wer ... ? (Fragepronomen, Personensubjekt);qui;732;b1c801bb65150aa4a876b8f837b6dcce
Qui est-ce qui t'a donné ta première chance?;Wer hat dir deine erste Chance gegeben?;;799;8ea4a508be5fc96e4316df3c034bf919
créer qc;etw. erschaffen, hier: bilden;-+ un créateur/une créatrice;846;a45e616270ebd826ff8202ddfda133fd
vendre qc;etw. verkaufen;+ acheter qc;889;4f02eaa955b2dda23abba6c590906c7a
nous-mêmes;wir selbst;Nous faisons tout ~,;912;4b0b1c1a8d15ee004b2f9a47fa20e680
marcher;"gehen/laufen; hier: klappen";Ses études ~2 bien.;934;4821fad439b61317f7073b462587df69
même;sogar;Elle est très intelligente, ~ géniale.;980;cd8c5826c7506a5dcc53ea0bad4eb3a3
un producteur/une productrice;ein Produzent/eine Produzentin;une ------ trice - une auditrice;1003;0ff076a126028dd12ea1adbf0ced76b4
un disque;eine Schallplatte;Son premier ~ a eu beaucoup de succès.;1048;c10a03832dd9916931ac14a792c0b1a3
un poisson;ein Fisch;;1206;9bfa5cecbc69b05986189b9edacb6eda
la date de naissance;das Geburtsdatum;;1230;829f3714fd3f2c52d790e4b282923bbe
une cassette;ein Radiorecorder;eine (Musik)Kassette;501;515fe93653b19d1a66fa5839d428c3b2
un CD/des CD;ein CD-Spieler;eine CD/CDs;524;0f31296dc6f5aed4c8bedea26100dfe6
un disque;ein Plattenspieler;eine (Schall)Platte;547;c10a03832dd9916931ac14a792c0b1a3
